"Date";"kWh"
"28.03.2025 00.00";"0.000"
"28.03.2025 01.00";"0.000"
"28.03.2025 02.00";"0.000"
"28.03.2025 03.00";"0.000"
"28.03.2025 04.00";"0.000"
"28.03.2025 05.00";"0.000"
"28.03.2025 06.00";"0.000"
"28.03.2025 07.00";"0.000"
"28.03.2025 08.00";"0.000"
"28.03.2025 09.00";"0.000"
"28.03.2025 10.00";"0.000"
"28.03.2025 11.00";"0.070"
"28.03.2025 12.00";"0.720"
"28.03.2025 13.00";"0.560"
"28.03.2025 14.00";"0.000"
"28.03.2025 15.00";"0.070"
"28.03.2025 16.00";"0.000"
"28.03.2025 17.00";"0.000"
"28.03.2025 18.00";"0.000"
"28.03.2025 19.00";"0.000"
"28.03.2025 20.00";"0.000"
"28.03.2025 21.00";"0.000"
"28.03.2025 22.00";"0.000"
"28.03.2025 23.00";"0.000"
"29.03.2025 00.00";"0.000"
"29.03.2025 01.00";"0.000"
"29.03.2025 02.00";"0.000"
"29.03.2025 03.00";"0.000"
"29.03.2025 04.00";"0.000"
"29.03.2025 05.00";"0.000"
"29.03.2025 06.00";"0.000"
"29.03.2025 07.00";"0.310"
"29.03.2025 08.00";"2.930"
"29.03.2025 09.00";"5.670"
"29.03.2025 10.00";"8.400"
"29.03.2025 11.00";"10.060"
"29.03.2025 12.00";"10.540"
"29.03.2025 13.00";"9.770"
"29.03.2025 14.00";"7.900"
"29.03.2025 15.00";"5.160"
"29.03.2025 16.00";"0.000"
"29.03.2025 17.00";"0.000"
"29.03.2025 18.00";"0.000"
"29.03.2025 19.00";"0.000"
"29.03.2025 20.00";"0.000"
"29.03.2025 21.00";"0.000"
"29.03.2025 22.00";"0.000"
"29.03.2025 23.00";"0.000"
"30.03.2025 00.00";"0.000"
"30.03.2025 01.00";"0.000"
"30.03.2025 02.00";"0.000"
"30.03.2025 04.00";"0.000"
"30.03.2025 05.00";"0.000"
"30.03.2025 06.00";"0.000"
"30.03.2025 07.00";"0.000"
"30.03.2025 08.00";"0.000"
"30.03.2025 09.00";"0.120"
"30.03.2025 10.00";"1.430"
"30.03.2025 11.00";"5.780"
"30.03.2025 12.00";"8.530"
"30.03.2025 13.00";"4.810"
"30.03.2025 14.00";"6.060"
"30.03.2025 15.00";"7.510"
"30.03.2025 16.00";"4.420"
"30.03.2025 17.00";"0.540"
"30.03.2025 18.00";"0.000"
"30.03.2025 19.00";"0.000"
"30.03.2025 20.00";"0.000"
"30.03.2025 21.00";"0.000"
"30.03.2025 22.00";"0.000"
"30.03.2025 23.00";"0.000"
"31.03.2025 00.00";"0.000"
"31.03.2025 01.00";"0.000"
"31.03.2025 02.00";"0.000"
"31.03.2025 03.00";"0.000"
"31.03.2025 04.00";"0.000"
"31.03.2025 05.00";"0.000"
"31.03.2025 06.00";"0.000"
"31.03.2025 07.00";"0.000"
"31.03.2025 08.00";"0.230"
"31.03.2025 09.00";"1.430"
"31.03.2025 10.00";"3.360"
"31.03.2025 11.00";"6.710"
"31.03.2025 12.00";"7.070"
"31.03.2025 13.00";"5.720"
"31.03.2025 14.00";"2.810"
"31.03.2025 15.00";"2.380"
"31.03.2025 16.00";"2.550"
"31.03.2025 17.00";"0.990"
"31.03.2025 18.00";"0.080"
"31.03.2025 19.00";"0.000"
"31.03.2025 20.00";"0.000"
"31.03.2025 21.00";"0.000"
"31.03.2025 22.00";"0.000"
"31.03.2025 23.00";"0.000"
"01.04.2025 00.00";"0.000"
"01.04.2025 01.00";"0.000"
"01.04.2025 02.00";"0.000"
"01.04.2025 03.00";"0.000"
"01.04.2025 04.00";"0.000"
"01.04.2025 05.00";"0.000"
"01.04.2025 06.00";"0.000"
"01.04.2025 07.00";"0.000"
"01.04.2025 08.00";"0.120"
"01.04.2025 09.00";"0.470"
"01.04.2025 10.00";"2.610"
"01.04.2025 11.00";"8.410"
"01.04.2025 12.00";"9.740"
"01.04.2025 13.00";"11.080"
"01.04.2025 14.00";"11.030"
"01.04.2025 15.00";"10.160"
"01.04.2025 16.00";"8.160"
"01.04.2025 17.00";"1.220"
"01.04.2025 18.00";"0.000"
"01.04.2025 19.00";"0.000"
"01.04.2025 20.00";"0.000"
"01.04.2025 21.00";"0.000"
"01.04.2025 22.00";"0.000"
"01.04.2025 23.00";"0.000"
"02.04.2025 00.00";"0.000"
"02.04.2025 01.00";"0.000"
"02.04.2025 02.00";"0.000"
"02.04.2025 03.00";"0.000"
"02.04.2025 04.00";"0.000"
"02.04.2025 05.00";"0.000"
"02.04.2025 06.00";"0.000"
"02.04.2025 07.00";"0.000"
"02.04.2025 08.00";"0.720"
"02.04.2025 09.00";"3.370"
"02.04.2025 10.00";"6.270"
"02.04.2025 11.00";"8.820"
"02.04.2025 12.00";"8.500"
"02.04.2025 13.00";"10.680"
"02.04.2025 14.00";"9.350"
"02.04.2025 15.00";"5.530"
"02.04.2025 16.00";"5.330"
"02.04.2025 17.00";"1.510"
"02.04.2025 18.00";"0.470"
"02.04.2025 19.00";"0.000"
"02.04.2025 20.00";"0.000"
"02.04.2025 21.00";"0.000"
"02.04.2025 22.00";"0.000"
"02.04.2025 23.00";"0.000"
