"Date";"kWh"
"28.03.2025 00.00";"1.160"
"28.03.2025 01.00";"2.200"
"28.03.2025 02.00";"2.170"
"28.03.2025 03.00";"1.910"
"28.03.2025 04.00";"1.480"
"28.03.2025 05.00";"4.070"
"28.03.2025 06.00";"0.750"
"28.03.2025 07.00";"0.620"
"28.03.2025 08.00";"0.300"
"28.03.2025 09.00";"0.380"
"28.03.2025 10.00";"0.270"
"28.03.2025 11.00";"0.000"
"28.03.2025 12.00";"0.000"
"28.03.2025 13.00";"0.000"
"28.03.2025 14.00";"0.180"
"28.03.2025 15.00";"0.000"
"28.03.2025 16.00";"0.090"
"28.03.2025 17.00";"0.290"
"28.03.2025 18.00";"0.810"
"28.03.2025 19.00";"2.460"
"28.03.2025 20.00";"6.900"
"28.03.2025 21.00";"1.160"
"28.03.2025 22.00";"0.780"
"28.03.2025 23.00";"0.820"
"29.03.2025 00.00";"0.800"
"29.03.2025 01.00";"1.820"
"29.03.2025 02.00";"1.590"
"29.03.2025 03.00";"1.720"
"29.03.2025 04.00";"1.600"
"29.03.2025 05.00";"2.450"
"29.03.2025 06.00";"0.460"
"29.03.2025 07.00";"0.000"
"29.03.2025 08.00";"0.000"
"29.03.2025 09.00";"0.000"
"29.03.2025 10.00";"0.000"
"29.03.2025 11.00";"0.000"
"29.03.2025 12.00";"0.000"
"29.03.2025 13.00";"0.000"
"29.03.2025 14.00";"0.000"
"29.03.2025 15.00";"0.000"
"29.03.2025 16.00";"0.280"
"29.03.2025 17.00";"0.060"
"29.03.2025 18.00";"1.060"
"29.03.2025 19.00";"1.430"
"29.03.2025 20.00";"1.450"
"29.03.2025 21.00";"2.540"
"29.03.2025 22.00";"1.320"
"29.03.2025 23.00";"1.130"
"30.03.2025 00.00";"1.160"
"30.03.2025 01.00";"2.190"
"30.03.2025 02.00";"1.840"
"30.03.2025 04.00";"1.690"
"30.03.2025 05.00";"1.570"
"30.03.2025 06.00";"0.660"
"30.03.2025 07.00";"0.480"
"30.03.2025 08.00";"0.020"
"30.03.2025 09.00";"0.000"
"30.03.2025 10.00";"0.000"
"30.03.2025 11.00";"0.000"
"30.03.2025 12.00";"0.000"
"30.03.2025 13.00";"0.000"
"30.03.2025 14.00";"0.000"
"30.03.2025 15.00";"0.000"
"30.03.2025 16.00";"0.000"
"30.03.2025 17.00";"0.000"
"30.03.2025 18.00";"0.960"
"30.03.2025 19.00";"2.150"
"30.03.2025 20.00";"0.870"
"30.03.2025 21.00";"1.440"
"30.03.2025 22.00";"0.700"
"30.03.2025 23.00";"0.540"
"31.03.2025 00.00";"0.820"
"31.03.2025 01.00";"1.410"
"31.03.2025 02.00";"1.220"
"31.03.2025 03.00";"1.140"
"31.03.2025 04.00";"4.280"
"31.03.2025 05.00";"1.180"
"31.03.2025 06.00";"0.820"
"31.03.2025 07.00";"0.970"
"31.03.2025 08.00";"0.000"
"31.03.2025 09.00";"0.000"
"31.03.2025 10.00";"0.000"
"31.03.2025 11.00";"0.000"
"31.03.2025 12.00";"0.000"
"31.03.2025 13.00";"0.000"
"31.03.2025 14.00";"0.000"
"31.03.2025 15.00";"0.000"
"31.03.2025 16.00";"0.000"
"31.03.2025 17.00";"0.000"
"31.03.2025 18.00";"0.000"
"31.03.2025 19.00";"0.680"
"31.03.2025 20.00";"1.090"
"31.03.2025 21.00";"0.590"
"31.03.2025 22.00";"0.580"
"31.03.2025 23.00";"0.880"
"01.04.2025 00.00";"0.980"
"01.04.2025 01.00";"1.110"
"01.04.2025 02.00";"1.270"
"01.04.2025 03.00";"1.260"
"01.04.2025 04.00";"1.190"
"01.04.2025 05.00";"1.010"
"01.04.2025 06.00";"2.140"
"01.04.2025 07.00";"1.280"
"01.04.2025 08.00";"0.000"
"01.04.2025 09.00";"0.000"
"01.04.2025 10.00";"0.000"
"01.04.2025 11.00";"0.000"
"01.04.2025 12.00";"0.000"
"01.04.2025 13.00";"0.000"
"01.04.2025 14.00";"0.000"
"01.04.2025 15.00";"0.000"
"01.04.2025 16.00";"0.000"
"01.04.2025 17.00";"0.000"
"01.04.2025 18.00";"0.020"
"01.04.2025 19.00";"0.730"
"01.04.2025 20.00";"2.440"
"01.04.2025 21.00";"0.580"
"01.04.2025 22.00";"0.600"
"01.04.2025 23.00";"0.710"
"02.04.2025 00.00";"0.640"
"02.04.2025 01.00";"1.860"
"02.04.2025 02.00";"1.670"
"02.04.2025 03.00";"1.580"
"02.04.2025 04.00";"1.470"
"02.04.2025 05.00";"1.230"
"02.04.2025 06.00";"0.600"
"02.04.2025 07.00";"0.510"
"02.04.2025 08.00";"0.000"
"02.04.2025 09.00";"0.000"
"02.04.2025 10.00";"0.000"
"02.04.2025 11.00";"0.000"
"02.04.2025 12.00";"0.000"
"02.04.2025 13.00";"0.000"
"02.04.2025 14.00";"0.000"
"02.04.2025 15.00";"0.000"
"02.04.2025 16.00";"0.000"
"02.04.2025 17.00";"0.000"
"02.04.2025 18.00";"0.000"
"02.04.2025 19.00";"0.750"
"02.04.2025 20.00";"8.650"
"02.04.2025 21.00";"0.990"
"02.04.2025 22.00";"0.630"
"02.04.2025 23.00";"0.580"
