"Date";"kWh"
"30.03.2025 00.00";"0.000"
"30.03.2025 01.00";"0.000"
"30.03.2025 02.00";"0.000"
"30.03.2025 04.00";"0.000"
"30.03.2025 05.00";"0.000"
"30.03.2025 06.00";"0.000"
"30.03.2025 07.00";"0.000"
"30.03.2025 08.00";"0.000"
"30.03.2025 09.00";"0.120"
"30.03.2025 10.00";"1.430"
"30.03.2025 11.00";"5.780"
"30.03.2025 12.00";"8.530"
"30.03.2025 13.00";"4.810"
"30.03.2025 14.00";"6.060"
"30.03.2025 15.00";"7.510"
"30.03.2025 16.00";"4.420"
"30.03.2025 17.00";"0.540"
"30.03.2025 18.00";"0.000"
"30.03.2025 19.00";"0.000"
"30.03.2025 20.00";"0.000"
"30.03.2025 21.00";"0.000"
"30.03.2025 22.00";"0.000"
"30.03.2025 23.00";"0.000"
"31.03.2025 00.00";"0.000"
