Date;kWh
30.03.2025 00.00;1.160
30.03.2025 01.00;2.190
30.03.2025 02.00;1.840
30.03.2025 04.00;1.690
30.03.2025 05.00;1.570
30.03.2025 06.00;0.660
30.03.2025 07.00;0.480
30.03.2025 08.00;0.020
30.03.2025 09.00;0.000
30.03.2025 10.00;0.000
30.03.2025 11.00;0.000
30.03.2025 12.00;0.000
30.03.2025 13.00;0.000
30.03.2025 14.00;0.000
30.03.2025 15.00;0.000
30.03.2025 16.00;0.000
30.03.2025 17.00;0.000
30.03.2025 18.00;0.960
30.03.2025 19.00;2.150
30.03.2025 20.00;0.870
30.03.2025 21.00;1.440
30.03.2025 22.00;0.700
30.03.2025 23.00;0.540
31.03.2025 00.00;0.820
