Aika;c/kWh
30.3.2025 0:00;1,2
30.3.2025 1:00;1,35
30.3.2025 2:00;1,47
30.3.2025 4:00;1,2
30.3.2025 5:00;1,09
30.3.2025 6:00;1,09
30.3.2025 7:00;1,08
30.3.2025 8:00;1,09
30.3.2025 9:00;1,88
30.3.2025 10:00;4,99
30.3.2025 11:00;8,3
30.3.2025 12:00;8,09
30.3.2025 13:00;6,03
30.3.2025 14:00;7,52
30.3.2025 15:00;13,14
30.3.2025 16:00;11,52
30.3.2025 17:00;14
30.3.2025 18:00;16,89
30.3.2025 19:00;21,68
30.3.2025 20:00;20,44
30.3.2025 21:00;11,45
30.3.2025 22:00;12,1
30.3.2025 23:00;9,52
